Regiaﬁo;ClassificaÁaﬁo;Ano;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Idade ignorada;Total
Nordeste;CID9;1979;31;115;104;91;103;156;123;142;164;185;151;41;2;1408
Nordeste;CID9;1980;41;113;139;108;112;176;157;154;164;192;178;67;4;1605
Nordeste;CID9;1981;36;131;118;102;112;174;137;171;167;205;147;68;;1568
Nordeste;CID9;1982;26;153;112;102;113;163;131;154;179;181;174;75;2;1565
Nordeste;CID9;1983;34;124;130;102;115;142;149;160;189;216;195;83;2;1641
Nordeste;CID9;1984;29;132;151;119;129;195;164;152;176;207;192;98;3;1747
Nordeste;CID9;1985;28;118;118;95;95;158;165;150;189;220;179;101;3;1619
Nordeste;CID9;1986;33;144;148;101;109;164;170;148;219;237;222;101;3;1799
Nordeste;CID9;1987;18;106;134;111;90;171;161;159;216;242;218;101;3;1730
Nordeste;CID9;1988;21;116;115;95;115;147;161;169;202;235;228;97;2;1703
Nordeste;CID9;1989;22;114;129;96;95;178;204;155;194;223;221;105;3;1739
Nordeste;CID9;1990;23;96;127;115;124;192;174;182;210;235;230;132;2;1842
Nordeste;CID9;1991;12;98;114;124;124;166;193;196;223;284;226;140;6;1906
Nordeste;CID9;1992;13;80;107;96;99;168;197;172;221;272;262;151;2;1840
Nordeste;CID9;1993;9;85;110;102;115;201;208;169;187;292;242;173;2;1895
Nordeste;CID9;1994;13;91;94;109;111;195;174;192;221;276;291;169;4;1940
Nordeste;CID9;1995;15;86;111;91;121;183;153;211;258;318;270;155;2;1974
Sudeste;CID9;1979;7;32;25;32;36;32;29;29;39;24;23;6;2;316
Sudeste;CID9;1980;15;28;41;36;33;48;32;35;44;27;25;5;1;370
Sudeste;CID9;1981;10;41;30;27;31;51;34;44;43;34;23;13;2;383
Sudeste;CID9;1982;11;39;42;45;33;49;36;30;47;33;38;13;6;422
Sudeste;CID9;1983;12;39;47;52;37;50;43;45;42;52;29;12;2;462
Sudeste;CID9;1984;11;52;56;46;35;42;39;41;45;42;37;5;4;455
Sudeste;CID9;1985;14;33;38;32;34;55;49;41;53;43;34;18;2;446
