Região,Ano,Faixa_Etaria,Obitos
Nordeste,1979,Menor 1 ano,31
Nordeste,1980,Menor 1 ano,41
Nordeste,1981,Menor 1 ano,36
Nordeste,1982,Menor 1 ano,26
Nordeste,1983,Menor 1 ano,34
Nordeste,1984,Menor 1 ano,29
Nordeste,1985,Menor 1 ano,28
Nordeste,1986,Menor 1 ano,33
Nordeste,1987,Menor 1 ano,18
Nordeste,1988,Menor 1 ano,21
Nordeste,1989,Menor 1 ano,22
Nordeste,1990,Menor 1 ano,23
Nordeste,1991,Menor 1 ano,12
Nordeste,1992,Menor 1 ano,13
Nordeste,1993,Menor 1 ano,9
Nordeste,1994,Menor 1 ano,13
Nordeste,1995,Menor 1 ano,15
Sudeste,1979,Menor 1 ano,7
Sudeste,1980,Menor 1 ano,15
Sudeste,1981,Menor 1 ano,10
Sudeste,1982,Menor 1 ano,11
Sudeste,1983,Menor 1 ano,12
Sudeste,1984,Menor 1 ano,11
Sudeste,1985,Menor 1 ano,14
Sudeste,1986,Menor 1 ano,16
Sudeste,1987,Menor 1 ano,12
Sudeste,1988,Menor 1 ano,11
Sudeste,1989,Menor 1 ano,4
Sudeste,1990,Menor 1 ano,3
Sudeste,1991,Menor 1 ano,12
Sudeste,1992,Menor 1 ano,10
Sudeste,1993,Menor 1 ano,10
Sudeste,1994,Menor 1 ano,6
Sudeste,1995,Menor 1 ano,13
Nordeste,1996,Menor 1 ano,9
Nordeste,1997,Menor 1 ano,20
Nordeste,1998,Menor 1 ano,13
Nordeste,1999,Menor 1 ano,11
Nordeste,2000,Menor 1 ano,14
Nordeste,2001,Menor 1 ano,17
Nordeste,2002,Menor 1 ano,11
Nordeste,2003,Menor 1 ano,18
Nordeste,2004,Menor 1 ano,17
Nordeste,2005,Menor 1 ano,18
Nordeste,2006,Menor 1 ano,18
Nordeste,2007,Menor 1 ano,10
Nordeste,2008,Menor 1 ano,15
Nordeste,2009,Menor 1 ano,14
Nordeste,2010,Menor 1 ano,9
Nordeste,2011,Menor 1 ano,9
Nordeste,2012,Menor 1 ano,11
Nordeste,2013,Menor 1 ano,13
Nordeste,2014,Menor 1 ano,3
Nordeste,2015,Menor 1 ano,9
Nordeste,2016,Menor 1 ano,18
Nordeste,2017,Menor 1 ano,8
Nordeste,2018,Menor 1 ano,14
Nordeste,2019,Menor 1 ano,11
Nordeste,2020,Menor 1 ano,10
Nordeste,2021,Menor 1 ano,9
Nordeste,2022,Menor 1 ano,12
Sudeste,1996,Menor 1 ano,21
Sudeste,1997,Menor 1 ano,16
Sudeste,1998,Menor 1 ano,18
Sudeste,1999,Menor 1 ano,14
